"","Name","Alter Ego","Occupation","Marital Status","Known Relatives","Group Affiliation","Base of Operations","Height","Weight","Hair","Eyes","First Appearance"
"256","Jonah Hex (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All-Star Western #10"
"257","Thorn (Earth-1)","Rose Forrest","Former secretary and campaign worker, now creative director for an advertising agency","Single","Phil Forrest (father, deceased)","None","Metropolis","5 ft. 8 in.","125 lbs.","Blond","Green","Superman's Girl Friend Lois Lane #105"
"258","Forever People (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forever People #1"
"259","Forever People (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forever People #1"
"260","New Gods (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Gods #1"
"261","Angel O'Day (Earth-1)",NA,"Private Investigator","Single","Unnamed father, Evilisha O'Day (aunt), Evilisha's son (cousin, name unknown), Cadwallader Avarice (distant cousin, deceased), Burton Avarice (distant cousin, deceased), Gabrielle, Milo, Gunga, Psyche, Torquemada (distant cousins, deceased)","O'Day and Simeon Detective Agency","New York City","5 ft. 7 in.","123 lbs.","Platinum","Blue","Showcase #77"
"262","Dolphin (Earth-1)","Unknown","Professional Adventurer","Single","None","Forgotten Heroes","The South Pacific","5 ft. 4 in.","107 lbs.","Platinum","Blue","Showcase #79"
"263","Blue Devil (Earth-1)","Daniel Patrick Cassidy","Stuntman/Special Effects Artist","Single","Unnamed parents, Mary Frances (sister), Seamus (uncle)","None","City of Metropolis, Los Angeles","6 ft. 8 in.","365 lbs.","None","Red","Fury of Firestorm #24"
"264","T.N.T. Trio (Earth-1)","Big Al, Little Al, and Charlie Cigar",NA,NA,NA,"Dog Company",NA,NA,NA,NA,NA,"G.I. Combat #83"
"265","Human Target (Earth-1)","Christopher Chance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action Comics #419"
"266","El Diablo (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All-Star Western #2"
"267","Gravedigger (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Men of War #1"
"268","Hercules (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hercules Unbound #1"
"269","Losers (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.I. Combat #138"
"270","Judomaster (Earth-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Special War Series ÃÂ Judomaster #4"
"271","Kid Eternity (Earth-S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hit Comics #25"
"272","Marvel Family (Earth-S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captain Marvel Adventures #18"
"273","Nemesis (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brave and the Bold #166"
"274","Night Force (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Teen Titans #21"
"275","Nightshade (Earth-4)","Eve Eden","Socialite and Spy-Smasher","Single","Senator Wayne Eden (father), Magda Eden (mother, deceased), Larry Eden (brother)","C.I.A.","Washington, D.C.","5 ft. 8 in.","128 lbs.","Black","Blue","Captain Atom #82"
"276","Omac (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Omac #1"
"277","Omega Men (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Lantern #141"
"278","Peacemaker (Earth-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fightin' Five #40"
"279","Question (Earth-4)","Victor (Vic) Sage","Television journalist","Single",NA,"None","Chicago","6 ft. 2 in.","185 lbs.",NA,NA,"Blue Beetle #1"
"280","Quicksilver (Earth-2)","Unknown","Former Circus Acrobat, Crimefighter","Single","None","None","Oakwood Park","5 ft. 11 in.","173 lbs.","Unknown","Blue","National Comics #5"
"281","Ragman (Earth-1)","Rory Regan","Former Soldier, now Pawnshop Owner and Manager","Single","Gerry Regan (father, deceased)","None","Gotham City slums","6 ft.","177 lbs.","Brown","Blue","Ragman #1"
"282","Sandman (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandman #1"
"283","Sarge Steel (Earth-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarge Steel #1"
"284","Scalphunter (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weird Western Tales #39"
"285","Son of Vulcan (Earth-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mysteries of Unexplored Worlds #46"
"286","Starman (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adventure Comics #467"
"287","Thunderbolt (Earth-4)","Peter Cannon",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thunderbolt #1"
"288","Captain Triumph (Earth-2)","Lance Gallant","Unknown","Single","Michael Gallant (brother, deceased)","None","An unnamed city","6 ft. 1 in.","198 lbs.","Blond","Blue","Crack Comics #27"
"289","Black Canary (Post-Crisis)","Dinah Lance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legends #4"
"290","Adam Strange (Post-Crisis)",NA,"Archaeologist, adventurer","Married","Unnamed parents (deceased), Todd (brother, deceased), Janice (sister), Alanna (wife, deceased), Aleea (daughter), Sardath (father-in-law), Bantteir (mother-in-law)","None","Ranagar, city on Rann, third planet of Alpha Centauri","6 ft.","175 lbs.","Blond","Blue","Swamp Thing #57"
"291","Question (Post-Crisis)","Vic Sage",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Question #1"
"292","Zatanna (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zatanna Special #1"
"293","Eclipso (Post-Crisis)","Bruce Gordon",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Outsiders #17"
"294","Challengers of the Unknown (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Origins #12"
"295","New Gods (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adventures of Superman #426"
"296","Mister Miracle (Post-Crisis)","Scott Free","Escape Artist","Married","Izaya (father), Barda (wife), Avia (mother, deceased), Big Breeda (mother-in-law)","Justice League International; New Gods","New York or Mobile","6 ft.","185 lbs.","Black","Blue","Mister Miracle Special #1"
"297","Captain Atom (Post-Crisis)","Nathaniel Christopher Adam; aka Cameron Scott","United States Air Force Major","Widower","Angela (wife, deceased), Margaret (daughter), Randall (son)","Justice League","San Francisco; Paris","6 ft. 4 in.","200 lbs.","White","Blue","Captain Atom #1"
"298","Captain Atom (Earth-4)","Nathaniel Christopher Adam","Captain, U.S. Air Force","Single","None","None","Cape Canaveral, Florida","6 ft. 1 in.","195 lbs.","White","Blue","Space Adventures #33"
"299","Spy Smasher (Earth-S)","Alan Armstrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whiz Comics 2 (#1)"
"300","Bulletman (Earth-S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nickel Comics #1"
"301","Minute Man (Earth-S)","Jack Weston",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master Comics #11"
"302","Ibis (Earth-S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whiz Comics 2 (#1)"
"303","Aqualad/Tempest (Post-Crisis)",NA,NA,NA,NA,"Teen Titans",NA,NA,NA,NA,NA,"Secret Origins #13"
"304","Animal Man (Post-Crisis)","Bernhard ""Buddy"" Baker","Movie Stuntman","Married","Ellen Frazier (wife), Cliff (son), Maxine (daughter)","Justice League Europe","San Diego, California & Pownal, Vermont","5 ft. 11.5 in.","172 lbs.","Blond","Blue","Animal Man #1"
"305","Doom Patrol (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teen Titans Spotlight #9"
"306","Deadman (Post-Crisis)","Boston Brand",NA,"Single",NA,NA,NA,NA,NA,NA,NA,"Secret Origins #15"
"307","Creeper (Post-Crisis)","Jack Ryder",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Justice League #2"
"308","Young All-Stars (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Young All-Stars #1"
"309","Guardian (Post-Crisis)","Jim Harper",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Young All-Stars #3"
"310","Nightshade (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suicide Squad #1"
"311","Doctor Fate (Post-Crisis)","Eric Strauss",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctor Fate #1"
"312","Manhunter/Privateer (Post-Crisis)","Mark Shaw","Bounty Hunter","Single","Desmond Bradford (uncle), Eliot Shaw (stepfather), Rose (mother), Eleanor (half-sister), James (half-brother)","Former member of the Manhunters and the Suicide Squad","New York City","5 ft. 11in.","183 lbs.","Brown","Blue","Suicide Squad #8"
"313","Amethyst (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amethyst #1"
"314","Uncle Sam (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Origins #19"
"315","Midnight (Post-Crisis)","Dave Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Origins #28"
"316","Doctor Occult (Post-Crisis)","Doctor Richard Occult","Private Investigator","Single","None","All-Star Squadron","New York City","6 ft. 1 in.","189 lbs.","Black","Gray","Young All-Stars #3"
"317","Captain Comet (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Origins Annual #1"
"318","Batgirl/Oracle (Post-Crisis)","Barbara Gordon","Library Administrator, Gotham City Public Library","Single","Roger C. Gordon (father, deceased), Thelma A. Gordon (mother, deceased), James W. Gordon (adoptive father), Barbara Gordon (adoptive mother, deceased), James W. Gordon, Jr. (adoptive brother)","None","Gotham City","5 ft. 11 in.","126 lbs.","Red","Blue","Secret Origins #20"
"319","Jonah Hex (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Origins #21"
"320","Wild Dog (Post-Crisis)","Jack Wheeler",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild Dog #1"
"321","Blackhawk (Post-Crisis)","Janos Prohaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blackhawk #1"
"322","Checkmate (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action Comics #598"
"323","Deathstroke (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Teen Titans Annual #3"
"324","Congorilla (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swamp Thing Annual #3"
"325","Wanderers (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wanderers #1"
